Venue_Name,City_Name,Host_Country
Barabati Stadium,Cuttack,India
Brabourne Stadium,Mumbai,India
Buffalo Park,East London,South Africa
De Beers Diamond Oval,Kimberley,South Africa
Dr DY Patil Sports Academy,Mumbai,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
Dubai International Cricket Stadium,Abu Dhabi,U.A.E
Eden Gardens,Kolkata,India
Feroz Shah Kotla,Delhi,India
Green Park,Kanpur,India
Himachal Pradesh Cricket Association Stadium,Dharamsala,India
Holkar Cricket Stadium,Indore,India
JSCA International Stadium Complex,Ranchi,India
Kingsmead,Durban,South Africa
M Chinnaswamy Stadium,Bangalore,India
"MA Chidambaram Stadium, Chepauk",Chennai,India
Maharashtra Cricket Association Stadium,Pune,India
Nehru Stadium,Kochi,India
New Wanderers Stadium,Johannesburg,South Africa
Newlands,Cape Town,South Africa
OUTsurance Oval,Bloemfontein,South Africa
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India
"Punjab Cricket Association Stadium, Mohali",Chandigarh,India
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
"Sardar Patel Stadium, Motera",Ahmedabad,India
Saurashtra Cricket Association Stadium,Rajkot,India
Sawai Mansingh Stadium,Jaipur,India
Shaheed Veer Narayan Singh International Stadium,Raipur,India
Sharjah Cricket Stadium,Abu Dhabi,U.A.E
Sheikh Zayed Stadium,Abu Dhabi,U.A.E
St George's Park,Port Elizabeth,South Africa
Subrata Roy Sahara Stadium,Pune,India
SuperSport Park,Centurion,South Africa
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India
Wankhede Stadium,Mumbai,India
